slang,normalized,meaning,category,language,example
drip,fashion style,Stylish appearance,gen_z,english,
highkey vibe check fr,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,
literal chika.,gossip,Variant phrase based on 'chika',filipino_slang,filipino,
highkey cap asap,lie,Variant phrase based on 'cap',gen_z,english,
highkey ate,performed well,Variant phrase based on 'ate',gen_z,english,
alpha af??,dominant person,Variant phrase based on 'alpha',gen_z,english,
iykyk moment asap,if you know you know,Variant phrase based on 'iykyk',abbreviation,english,
bet no cap??,okay,Variant phrase based on 'bet',gen_z,english,
sus af??,suspicious,Variant phrase based on 'sus',gen_z,english,
sakalam af!,malakas,Variant phrase based on 'sakalam',filipino_slang,filipino,
ghosted fr??,suddenly ignored,Variant phrase based on 'ghosted',internet,english,
fr rn pls,for real,Variant phrase based on 'fr',abbreviation,english,
lowkey bet fr,okay,Variant phrase based on 'bet',gen_z,english,
highkey bussin pls,delicious,Variant phrase based on 'bussin',gen_z,english,
simp af.,overly devoted person,Variant phrase based on 'simp',internet,english,
very gyatt pls,wow,Variant phrase based on 'gyatt',gen_alpha,english,
petmalu af??,malupet,Variant phrase based on 'petmalu',filipino_slang,filipino,
highkey jejemon rn,overly stylized texter,Variant phrase based on 'jejemon',filipino_slang,filipino,
literal let him cook!,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,
omsim fr tbh,oo mismo,Variant phrase based on 'omsim',filipino_slang,filipino,
literal simp.,overly devoted person,Variant phrase based on 'simp',internet,english,
lowkey hayup!,crazy,Variant phrase based on 'hayup',filipino_slang,filipino,
sus moment.,suspicious,Variant phrase based on 'sus',gen_z,english,
sigma fr,independent person,Variant phrase based on 'sigma',gen_alpha,english,
understood the assignment moment,did well,Variant phrase based on 'understood the assignment',gen_z,english,
literal hayup??,crazy,Variant phrase based on 'hayup',filipino_slang,filipino,
no cap bro rn,for real,Variant phrase based on 'no cap',gen_z,english,
eme rn pls,whatever,Variant phrase based on 'eme',filipino_slang,filipino,
its giving bro rn,it resembles,Variant phrase based on 'its giving',gen_z,english,
highkey main character energy fr,confident presence,Variant phrase based on 'main character energy',gen_z,english,
cap af!,lie,Variant phrase based on 'cap',gen_z,english,
highkey rizz.,charisma,Variant phrase based on 'rizz',gen_z,english,
very charot??,just kidding,Variant phrase based on 'charot',filipino_slang,filipino,
bet moment??,okay,Variant phrase based on 'bet',gen_z,english,
very werpa pls,power,Variant phrase based on 'werpa',filipino_slang,filipino,
finna fr!,going to,Variant phrase based on 'finna',slang,english,
delulu fr!,delusional,Variant phrase based on 'delulu',gen_z,english,
edi wow no cap asap,sarcastic reaction,Variant phrase based on 'edi wow',filipino_slang,filipino,
charot fr pls,just kidding,Variant phrase based on 'charot',filipino_slang,filipino,
lowkey brainrot.,obsessive content fixation,Variant phrase based on 'brainrot',gen_alpha,english,
let him cook bro,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,
drip rn??,fashion style,Variant phrase based on 'drip',gen_z,english,
china oil no cap.,cheers,Variant phrase based on 'china oil',filipino_slang,filipino,
hayup rn,crazy,Wild reaction,filipino_slang,filipino,
iykyk af??,if you know you know,Variant phrase based on 'iykyk',abbreviation,english,
touch grass fr tbh,go outside,Variant phrase based on 'touch grass',gen_z,english,
imo bro.,in my opinion,Variant phrase based on 'imo',abbreviation,english,
caught in 4k bro,caught clearly,Variant phrase based on 'caught in 4k',internet,english,
very lmao fr,laughing hard,Variant phrase based on 'lmao',abbreviation,english,
ngl moment.,not gonna lie,Variant phrase based on 'ngl',abbreviation,english,
bussin moment,delicious,Variant phrase based on 'bussin',gen_z,english,
literal gyatt tbh,wow,Variant phrase based on 'gyatt',gen_alpha,english,
lowkey gyatt??,wow,Variant phrase based on 'gyatt',gen_alpha,english,
beshy moment,bestie,Variant phrase based on 'beshy',filipino_slang,filipino,
very alpha!,dominant person,Variant phrase based on 'alpha',gen_z,english,
lowkey praning??,paranoid,Variant phrase based on 'praning',filipino_slang,filipino,
chika moment tbh,gossip,Variant phrase based on 'chika',filipino_slang,filipino,
stan.,obsessive fan,Dedicated supporter,internet,english,
lmao af asap,laughing hard,Variant phrase based on 'lmao',abbreviation,english,
gigil af tbh,overwhelmed emotion,Variant phrase based on 'gigil',filipino_slang,filipino,
lods af,idol,Variant phrase based on 'lods',filipino_slang,filipino,
cook rn tbh,perform well,Variant phrase based on 'cook',gen_z,english,
eme fr.,whatever,Variant phrase based on 'eme',filipino_slang,filipino,
stan fr fr,obsessive fan,Variant phrase based on 'stan',internet,english,
sana all,i wish everyone,Expression of envy,filipino_slang,filipino,
petmalu fr,malupet,Variant phrase based on 'petmalu',filipino_slang,filipino,
copium bro!,false hope,Variant phrase based on 'copium',internet,english,
very mood pls,relatable feeling,Variant phrase based on 'mood',gen_z,english,
very npc??,unoriginal person,Variant phrase based on 'npc',gen_z,english,
lowkey beshy rn,bestie,Variant phrase based on 'beshy',filipino_slang,filipino,
very cap!,lie,Variant phrase based on 'cap',gen_z,english,
rizz af asap,charisma,Variant phrase based on 'rizz',gen_z,english,
mid rn tbh,average,Variant phrase based on 'mid',gen_z,english,
gyatt fr??,wow,Variant phrase based on 'gyatt',gen_alpha,english,
cap af fr,lie,Variant phrase based on 'cap',gen_z,english,
literal copium!,false hope,Variant phrase based on 'copium',internet,english,
literal ghosted tbh,suddenly ignored,Variant phrase based on 'ghosted',internet,english,
very mood tbh,relatable feeling,Variant phrase based on 'mood',gen_z,english,
forda moment!,for the,Variant phrase based on 'forda',filipino_slang,filipino,
mood no cap rn,relatable feeling,Variant phrase based on 'mood',gen_z,english,
chika moment!,gossip,Variant phrase based on 'chika',filipino_slang,filipino,
lowkey fr!,slightly,Variant phrase based on 'lowkey',gen_z,english,
vibe check af rn,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,
lowkey delulu fr,delusional,Variant phrase based on 'delulu',gen_z,english,
finna fr??,going to,Variant phrase based on 'finna',slang,english,
lodi af,idol,Variant phrase based on 'lodi',filipino_slang,filipino,
finna fr,going to,About to do something,slang,english,
omsim rn??,oo mismo,Variant phrase based on 'omsim',filipino_slang,filipino,
sakalam.,malakas,Strong or impressive,filipino_slang,filipino,
gyatt moment pls,wow,Variant phrase based on 'gyatt',gen_alpha,english,
flex rn fr,show off,Variant phrase based on 'flex',gen_z,english,
main character energy no cap.,confident presence,Variant phrase based on 'main character energy',gen_z,english,
forda rn pls,for the,Variant phrase based on 'forda',filipino_slang,filipino,
fr no cap!,for real,Variant phrase based on 'fr',abbreviation,english,
rizz no cap.,charisma,Variant phrase based on 'rizz',gen_z,english,
highkey edi wow!,sarcastic reaction,Variant phrase based on 'edi wow',filipino_slang,filipino,
understood the assignment no cap,did well,Variant phrase based on 'understood the assignment',gen_z,english,
mood fr??,relatable feeling,Variant phrase based on 'mood',gen_z,english,
lowkey cap asap,lie,Variant phrase based on 'cap',gen_z,english,
gigil bro fr,overwhelmed emotion,Variant phrase based on 'gigil',filipino_slang,filipino,
fr af!,for real,Variant phrase based on 'fr',abbreviation,english,
copium asap,false hope,Excuses to feel better,internet,english,
vibe check af fr,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,
highkey lods tbh,idol,Variant phrase based on 'lods',filipino_slang,filipino,
npc no cap rn,unoriginal person,Variant phrase based on 'npc',gen_z,english,
very rizz!,charisma,Variant phrase based on 'rizz',gen_z,english,
lowkey flex!,show off,Variant phrase based on 'flex',gen_z,english,
mid bro pls,average,Variant phrase based on 'mid',gen_z,english,
werpa no cap asap,power,Variant phrase based on 'werpa',filipino_slang,filipino,
lowkey chika.,gossip,Variant phrase based on 'chika',filipino_slang,filipino,
bet no cap rn,okay,Variant phrase based on 'bet',gen_z,english,
delulu af??,delusional,Variant phrase based on 'delulu',gen_z,english,
keri fr rn,can handle,Variant phrase based on 'keri',filipino_slang,filipino,
highkey forda tbh,for the,Variant phrase based on 'forda',filipino_slang,filipino,
lowkey mid rn,average,Variant phrase based on 'mid',gen_z,english,
caught in 4k fr.,caught clearly,Variant phrase based on 'caught in 4k',internet,english,
literal sakalam!,malakas,Variant phrase based on 'sakalam',filipino_slang,filipino,
bffr!,be for real,Calling out unrealistic behavior,abbreviation,english,
awit fr fr,ouch,Variant phrase based on 'awit',filipino_slang,filipino,
cap no cap.,lie,Variant phrase based on 'cap',gen_z,english,
ratio fr!,negative response,Variant phrase based on 'ratio',internet,english,
literal stan asap,obsessive fan,Variant phrase based on 'stan',internet,english,
npc af tbh,unoriginal person,Variant phrase based on 'npc',gen_z,english,
skibidi moment!,nonsense meme,Variant phrase based on 'skibidi',gen_alpha,english,
lowkey bro rn,slightly,Variant phrase based on 'lowkey',gen_z,english,
goated no cap asap,greatest of all time,Variant phrase based on 'goated',gen_z,english,
very gyatt??,wow,Variant phrase based on 'gyatt',gen_alpha,english,
iykyk no cap pls,if you know you know,Variant phrase based on 'iykyk',abbreviation,english,
very awit!,ouch,Variant phrase based on 'awit',filipino_slang,filipino,
lowkey sus pls,suspicious,Variant phrase based on 'sus',gen_z,english,
walwal bro,party hard,Variant phrase based on 'walwal',filipino_slang,filipino,
understood the assignment fr fr,did well,Variant phrase based on 'understood the assignment',gen_z,english,
bffr af!,be for real,Variant phrase based on 'bffr',abbreviation,english,
cook bro rn,perform well,Variant phrase based on 'cook',gen_z,english,
copium af,false hope,Variant phrase based on 'copium',internet,english,
bhie af,friend,Variant phrase based on 'bhie',filipino_slang,filipino,
ratio pls,negative response,Getting more replies than likes,internet,english,
copium bro asap,false hope,Variant phrase based on 'copium',internet,english,
praning moment rn,paranoid,Variant phrase based on 'praning',filipino_slang,filipino,
lowkey no cap!,slightly,Variant phrase based on 'lowkey',gen_z,english,
flex!,show off,Display status or success,gen_z,english,
slay af pls,excellent,Variant phrase based on 'slay',gen_z,english,
lowkey simp??,overly devoted person,Variant phrase based on 'simp',internet,english,
caught in 4k no cap asap,caught clearly,Variant phrase based on 'caught in 4k',internet,english,
bet fr!,okay,Variant phrase based on 'bet',gen_z,english,
highkey fr!,for real,Variant phrase based on 'fr',abbreviation,english,
flex no cap pls,show off,Variant phrase based on 'flex',gen_z,english,
npc tbh,unoriginal person,Someone acting robotic or generic,gen_z,english,
gyatt moment tbh,wow,Variant phrase based on 'gyatt',gen_alpha,english,
lowkey awit,ouch,Variant phrase based on 'awit',filipino_slang,filipino,
lowkey let him cook.,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,
highkey copium asap,false hope,Variant phrase based on 'copium',internet,english,
vibe check fr asap,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,
highkey china oil.,cheers,Variant phrase based on 'china oil',filipino_slang,filipino,
iykyk moment,if you know you know,Variant phrase based on 'iykyk',abbreviation,english,
charot moment tbh,just kidding,Variant phrase based on 'charot',filipino_slang,filipino,
werpa bro,power,Variant phrase based on 'werpa',filipino_slang,filipino,
idk bro asap,i do not know,Variant phrase based on 'idk',abbreviation,english,
lowkey main character energy fr,confident presence,Variant phrase based on 'main character energy',gen_z,english,
highkey werpa??,power,Variant phrase based on 'werpa',filipino_slang,filipino,
china oil fr tbh,cheers,Variant phrase based on 'china oil',filipino_slang,filipino,
lmao rn.,laughing hard,Variant phrase based on 'lmao',abbreviation,english,
finna af!,going to,Variant phrase based on 'finna',slang,english,
literal china oil fr,cheers,Variant phrase based on 'china oil',filipino_slang,filipino,
very charot!,just kidding,Variant phrase based on 'charot',filipino_slang,filipino,
hayup no cap asap,crazy,Variant phrase based on 'hayup',filipino_slang,filipino,
very eme!,whatever,Variant phrase based on 'eme',filipino_slang,filipino,
very gyatt fr,wow,Variant phrase based on 'gyatt',gen_alpha,english,
literal rizz.,charisma,Variant phrase based on 'rizz',gen_z,english,
lowkey.,slightly,Subtle feeling or opinion,gen_z,english,
highkey bussin??,delicious,Variant phrase based on 'bussin',gen_z,english,
very lodi fr,idol,Variant phrase based on 'lodi',filipino_slang,filipino,
lowkey mood asap,relatable feeling,Variant phrase based on 'mood',gen_z,english,
literal jejemon asap,overly stylized texter,Variant phrase based on 'jejemon',filipino_slang,filipino,
literal alpha fr,dominant person,Variant phrase based on 'alpha',gen_z,english,
copium bro,false hope,Variant phrase based on 'copium',internet,english,
highkey fr.,for real,Variant phrase based on 'fr',abbreviation,english,
main character energy no cap asap,confident presence,Variant phrase based on 'main character energy',gen_z,english,
skibidi rn.,nonsense meme,Variant phrase based on 'skibidi',gen_alpha,english,
literal chika fr,gossip,Variant phrase based on 'chika',filipino_slang,filipino,
sigma fr!,independent person,Variant phrase based on 'sigma',gen_alpha,english,
omsim rn tbh,oo mismo,Variant phrase based on 'omsim',filipino_slang,filipino,
no cap tbh,for real,Not lying or being serious,gen_z,english,
forda moment fr,for the,Variant phrase based on 'forda',filipino_slang,filipino,
fr rn tbh,for real,Variant phrase based on 'fr',abbreviation,english,
brainrot no cap tbh,obsessive content fixation,Variant phrase based on 'brainrot',gen_alpha,english,
literal forda,for the,Variant phrase based on 'forda',filipino_slang,filipino,
hanash af,topic,Variant phrase based on 'hanash',filipino_slang,filipino,
clout moment fr,influence,Variant phrase based on 'clout',internet,english,
drip bro.,fashion style,Variant phrase based on 'drip',gen_z,english,
gyatt moment??,wow,Variant phrase based on 'gyatt',gen_alpha,english,
highkey mid??,average,Variant phrase based on 'mid',gen_z,english,
ate no cap.,performed well,Variant phrase based on 'ate',gen_z,english,
ngl no cap??,not gonna lie,Variant phrase based on 'ngl',abbreviation,english,
literal cook,perform well,Variant phrase based on 'cook',gen_z,english,
keri fr pls,can handle,Variant phrase based on 'keri',filipino_slang,filipino,
fr moment pls,for real,Variant phrase based on 'fr',abbreviation,english,
cook af.,perform well,Variant phrase based on 'cook',gen_z,english,
literal bffr tbh,be for real,Variant phrase based on 'bffr',abbreviation,english,
highkey moment fr,strongly,Variant phrase based on 'highkey',gen_z,english,
hanash moment??,topic,Variant phrase based on 'hanash',filipino_slang,filipino,
highkey npc fr,unoriginal person,Variant phrase based on 'npc',gen_z,english,
eme bro fr,whatever,Variant phrase based on 'eme',filipino_slang,filipino,
its giving rn asap,it resembles,Variant phrase based on 'its giving',gen_z,english,
bussin.,delicious,"Very good, usually food",gen_z,english,
literal ngl pls,not gonna lie,Variant phrase based on 'ngl',abbreviation,english,
very slay tbh,excellent,Variant phrase based on 'slay',gen_z,english,
ate rn rn,performed well,Variant phrase based on 'ate',gen_z,english,
brainrot no cap.,obsessive content fixation,Variant phrase based on 'brainrot',gen_alpha,english,
simp moment pls,overly devoted person,Variant phrase based on 'simp',internet,english,
lowkey fr,slightly,Subtle feeling or opinion,gen_z,english,
sana all af rn,i wish everyone,Variant phrase based on 'sana all',filipino_slang,filipino,
skibidi af fr,nonsense meme,Variant phrase based on 'skibidi',gen_alpha,english,
very cook fr,perform well,Variant phrase based on 'cook',gen_z,english,
gyatt af??,wow,Variant phrase based on 'gyatt',gen_alpha,english,
walwal bro rn,party hard,Variant phrase based on 'walwal',filipino_slang,filipino,
eme fr asap,whatever,Variant phrase based on 'eme',filipino_slang,filipino,
highkey brainrot.,obsessive content fixation,Variant phrase based on 'brainrot',gen_alpha,english,
very china oil!,cheers,Variant phrase based on 'china oil',filipino_slang,filipino,
ratio moment pls,negative response,Variant phrase based on 'ratio',internet,english,
imo moment pls,in my opinion,Variant phrase based on 'imo',abbreviation,english,
highkey iykyk??,if you know you know,Variant phrase based on 'iykyk',abbreviation,english,
beshy bro.,bestie,Variant phrase based on 'beshy',filipino_slang,filipino,
ratio fr tbh,negative response,Variant phrase based on 'ratio',internet,english,
lmao af pls,laughing hard,Variant phrase based on 'lmao',abbreviation,english,
very cook.,perform well,Variant phrase based on 'cook',gen_z,english,
main character energy af tbh,confident presence,Variant phrase based on 'main character energy',gen_z,english,
highkey af.,strongly,Variant phrase based on 'highkey',gen_z,english,
lowkey hayup tbh,crazy,Variant phrase based on 'hayup',filipino_slang,filipino,
chika af!,gossip,Variant phrase based on 'chika',filipino_slang,filipino,
bussin asap,delicious,"Very good, usually food",gen_z,english,
touch grass fr pls,go outside,Variant phrase based on 'touch grass',gen_z,english,
edi wow rn pls,sarcastic reaction,Variant phrase based on 'edi wow',filipino_slang,filipino,
kilig no cap.,romantic excitement,Variant phrase based on 'kilig',filipino_slang,filipino,
highkey mood!,relatable feeling,Variant phrase based on 'mood',gen_z,english,
bet no cap pls,okay,Variant phrase based on 'bet',gen_z,english,
very highkey tbh,strongly,Variant phrase based on 'highkey',gen_z,english,
vibe check af!,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,
highkey sakalam??,malakas,Variant phrase based on 'sakalam',filipino_slang,filipino,
rizz rn tbh,charisma,Variant phrase based on 'rizz',gen_z,english,
literal iykyk??,if you know you know,Variant phrase based on 'iykyk',abbreviation,english,
literal bet rn,okay,Variant phrase based on 'bet',gen_z,english,
very highkey??,strongly,Variant phrase based on 'highkey',gen_z,english,
mid fr??,average,Variant phrase based on 'mid',gen_z,english,
lowkey iykyk tbh,if you know you know,Variant phrase based on 'iykyk',abbreviation,english,
drip no cap fr,fashion style,Variant phrase based on 'drip',gen_z,english,
simp no cap pls,overly devoted person,Variant phrase based on 'simp',internet,english,
very no cap tbh,for real,Variant phrase based on 'no cap',gen_z,english,
simp af fr,overly devoted person,Variant phrase based on 'simp',internet,english,
copium fr rn,false hope,Variant phrase based on 'copium',internet,english,
iykyk fr,if you know you know,Variant phrase based on 'iykyk',abbreviation,english,
jejemon.,overly stylized texter,Old Filipino internet stereotype,filipino_slang,filipino,
mood asap,relatable feeling,Strong emotional relatability,gen_z,english,
finna no cap!,going to,Variant phrase based on 'finna',slang,english,
very mood fr,relatable feeling,Variant phrase based on 'mood',gen_z,english,
lowkey npc tbh,unoriginal person,Variant phrase based on 'npc',gen_z,english,
praning no cap asap,paranoid,Variant phrase based on 'praning',filipino_slang,filipino,
keri no cap tbh,can handle,Variant phrase based on 'keri',filipino_slang,filipino,
gigil!,overwhelmed emotion,Intense emotional urge,filipino_slang,filipino,
keri moment,can handle,Variant phrase based on 'keri',filipino_slang,filipino,
fr rn??,for real,Variant phrase based on 'fr',abbreviation,english,
edi wow no cap pls,sarcastic reaction,Variant phrase based on 'edi wow',filipino_slang,filipino,
highkey let him cook.,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,
no cap bro fr,for real,Variant phrase based on 'no cap',gen_z,english,
highkey stan??,obsessive fan,Variant phrase based on 'stan',internet,english,
caught in 4k rn pls,caught clearly,Variant phrase based on 'caught in 4k',internet,english,
iykyk fr!,if you know you know,Variant phrase based on 'iykyk',abbreviation,english,
highkey imo!,in my opinion,Variant phrase based on 'imo',abbreviation,english,
very petmalu pls,malupet,Variant phrase based on 'petmalu',filipino_slang,filipino,
very hayup rn,crazy,Variant phrase based on 'hayup',filipino_slang,filipino,
highkey bro fr,strongly,Variant phrase based on 'highkey',gen_z,english,
lowkey rizz pls,charisma,Variant phrase based on 'rizz',gen_z,english,
highkey fr tbh,strongly,Variant phrase based on 'highkey',gen_z,english,
lowkey af rn,slightly,Variant phrase based on 'lowkey',gen_z,english,
very walwal fr,party hard,Variant phrase based on 'walwal',filipino_slang,filipino,
its giving af!,it resembles,Variant phrase based on 'its giving',gen_z,english,
